periodo,IMAI (índice desest.),Var. mensual desest. (%),Var. anual desest. (%),IMAI (índice original),Var. anual original (%),Acumulado ene-mes original (%),Minería (índice desest.),"Energía, agua y gas (índice desest.)",Construcción (índice desest.),Industrias manufactureras (índice desest.),Var. anual Minería (%),Var. anual Energía (%),Var. anual Construcción (%),Var. anual Manufacturas (%),Var. mensual Minería (%),Var. mensual Energía (%),Var. mensual Construcción (%),Var. mensual Manufacturas (%)
Jun 09,82.856603,,,82.527664,,-0.10671,121.483105,77.797774,90.655922,73.449221,,,,,,,,
Jul 09,84.725954,,,85.829552,,-0.10249,123.480373,78.902317,90.650345,76.185806,,,,,,,,
Ago 09,84.688173,,,85.560507,,-0.099876,121.504143,79.098447,89.69015,76.324643,,,,,,,,
Sep 09,85.921458,,,87.092111,,-0.096047,123.302697,79.399274,90.7043,77.826902,,,,,,,,
Oct 09,86.360601,,,89.794201,,-0.0922,123.494698,80.065051,87.769324,79.316899,,,,,,,,
Nov 09,87.674352,,,87.004106,,-0.085916,122.749766,79.006907,87.43113,81.571493,,,,,,,,
Dic 09,88.064292,,,86.760183,,-0.079601,123.207976,78.603785,88.392074,82.013791,,,,,,,,
Ene 10,87.88456,,,85.853146,,0.040264,125.131162,78.522245,96.770749,78.840131,,,,,,,,
Feb 10,87.491082,,,83.416523,,0.040907,126.141023,77.993214,89.401385,80.528596,,,,,,,,
Mar 10,88.524098,,,89.568451,,0.048115,126.039955,78.761482,91.589325,81.670127,,,,,,,,
Abr 10,89.487977,,,89.957202,,0.054432,127.065326,78.524505,92.629431,82.120029,,,,,,,,
May 10,88.95738,,,89.102416,,0.057959,127.332738,79.21447,87.712119,82.855879,,,,,,,,
Jun 10,88.97796,,,88.768452,,0.060898,126.43482,80.156783,87.589308,82.845965,,,,,,,,
Jul 10,88.735534,,,90.156511,,0.059345,125.09156,83.543463,88.665299,82.336363,,,,,,,,
Ago 10,89.464027,,,90.403633,,0.058994,126.095355,79.92061,87.334223,83.638272,,,,,,,,
Sep 10,88.966826,,,89.713058,,0.055663,127.161328,81.700419,87.748228,82.668558,,,,,,,,
Oct 10,89.024877,,,92.240756,,0.052644,124.348126,81.532094,89.258876,82.551116,,,,,,,,
Nov 10,88.850134,,,88.619996,,0.049458,123.668655,82.453274,88.057438,82.786036,,,,,,,,
Dic 10,89.670959,,,88.53504,,0.046994,124.49212,83.477918,89.280632,83.6544,,,,,,,,
Ene 11,89.814782,,,87.508961,,0.019255,124.938161,83.362755,91.36157,83.117646,,,,,,,,
Feb 11,89.61387,,,85.457046,,0.021821,124.451851,84.111344,88.95765,83.800173,,,,,,,,
Mar 11,90.292593,,,91.332372,,0.021081,125.609356,85.28935,88.129528,84.705194,,,,,,,,
Abr 11,90.208986,,,90.257544,,0.016499,126.174086,85.789651,90.537222,83.600626,,,,,,,,
May 11,91.002047,,,91.472921,,0.018555,126.126124,85.268644,91.071484,84.603988,,,,,,,,
Jun 11,91.841239,,,91.849722,,0.021282,126.964399,86.151442,96.139314,84.451251,,,,,,,,
Jul 11,91.641087,,,93.425847,,0.023475,126.520029,85.575008,93.042245,84.963654,,,,,,,,
Ago 11,92.073651,,,93.03011,,0.024189,126.759656,85.787649,95.266991,84.929556,,,,,,,,
Sep 11,91.928272,,,92.283349,,0.024693,125.50947,86.161174,93.109221,85.465269,,,,,,,,
Oct 11,93.138773,,,96.264899,,0.026654,128.350728,85.679933,94.731334,86.365069,,,,,,,,
Nov 11,93.966472,,,94.104076,,0.029848,127.822507,85.410956,98.012793,86.8838,,,,,,,,
Dic 11,94.468006,,,93.245636,,0.031783,128.297504,87.84342,97.384331,87.576766,,,,,,,,
Ene 12,94.574685,,,91.730435,,0.048241,126.633605,85.74231,94.700863,89.027126,,,,,,,,
Feb 12,94.561234,,,90.340531,,0.052633,127.471483,86.710855,94.709027,88.922141,,,,,,,,
Mar 12,94.657453,,,95.807731,,0.051384,128.16811,86.158313,94.346897,89.106638,,,,,,,,
Abr 12,95.154282,,,94.867851,,0.051311,128.03269,86.677781,95.626113,89.440191,,,,,,,,
May 12,94.75372,,,95.625998,,0.050097,128.684017,86.764199,95.798954,88.727121,,,,,,,,
Jun 12,95.235321,,,95.486507,,0.048302,128.959496,87.117256,94.157054,89.724195,,,,,,,,
Jul 12,95.983852,,,98.012377,,0.048415,129.148863,87.178021,98.566659,89.548173,,,,,,,,
Ago 12,94.622171,,,95.55919,,0.045695,128.728186,86.38752,95.47069,88.539385,,,,,,,,
Sep 12,95.869998,,,96.0186,,0.0451,128.671463,86.406347,96.962613,89.834209,,,,,,,,
Oct 12,94.032439,,,97.212758,,0.041383,127.866053,87.134232,94.54603,87.921983,,,,,,,,
Nov 12,94.825185,,,95.141119,,0.03855,130.083134,87.671587,95.039766,88.651465,,,,,,,,
